season,celebrityname,wiki_title,pageid,cutoff_utc,edits_total_to_cutoff,status,notes
26,Johnny Damon,Johnny Damon,608740,2018-04-23T00:00:00Z,3413,ok,
26,Josh Norman,Josh Norman,35269134,2018-04-23T00:00:00Z,904,ok,
26,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,16899,2018-04-23T00:00:00Z,4556,ok,
26,Mirai Nagasu,Mirai Nagasu,9159762,2018-04-23T00:00:00Z,1618,ok,
26,Tonya Harding,Tonya Harding,48110,2018-04-23T00:00:00Z,2276,ok,
27,Alexis Ren,Alexis Ren,54577289,2018-09-17T00:00:00Z,238,ok,
27,Bobby Bones,Bobby Bones,43073155,2018-09-17T00:00:00Z,299,ok,
27,Danelle Umstead,Danelle Umstead,27694146,2018-09-17T00:00:00Z,24,ok,
27,DeMarcus Ware,DeMarcus Ware,1806555,2018-09-17T00:00:00Z,1573,ok,
27,Evanna Lynch,Evanna Lynch,3931304,2018-09-17T00:00:00Z,2614,ok,
27,Joe Amabile,Joe Amabile,58468039,2018-09-17T00:00:00Z,3,ok,
27,John Schneider,John Schneider,319321,2018-09-17T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
27,Juan Pablo Di Pace,Juan Pablo Di Pace,2184375,2018-09-17T00:00:00Z,257,ok,
27,Mary Lou Retton,Mary Lou Retton,74728,2018-09-17T00:00:00Z,846,ok,
27,Milo Manheim,Milo Manheim,56711002,2018-09-17T00:00:00Z,155,ok,
27,Nancy McKeon,Nancy McKeon,806317,2018-09-17T00:00:00Z,517,ok,
27,Nikki Glaser,Nikki Glaser,36855494,2018-09-17T00:00:00Z,340,ok,
27,Tinashe,Tinashe,25831844,2018-09-17T00:00:00Z,2535,ok,
28,Ally Brooke,Ally Brooke,37607502,2019-09-09T00:00:00Z,781,ok,
28,Hannah Brown,Hannah Brown,60215586,2019-09-09T00:00:00Z,96,ok,
28,James Van Der Beek,James Van Der Beek,600595,2019-09-09T00:00:00Z,1315,ok,
28,Karamo Brown,Karamo Brown,54992730,2019-09-09T00:00:00Z,183,ok,
28,Kate Flannery,Kate Flannery,4702041,2019-09-09T00:00:00Z,334,ok,
28,Kel Mitchell,Kel Mitchell,661872,2019-09-09T00:00:00Z,3316,ok,
28,Lamar Odom,Lamar Odom,651268,2019-09-09T00:00:00Z,2241,ok,
28,Lauren Alaina,Lauren Alaina,31000171,2019-09-09T00:00:00Z,2464,ok,
28,Mary Wilson,Mary Wilson,343104,2019-09-09T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
28,Ray Lewis,Ray Lewis,449982,2019-09-09T00:00:00Z,3399,ok,
28,Sailor Brinkley-Cook,Sailor Brinkley Cook,41476979,2019-09-09T00:00:00Z,4,ok,
28,Sean Spicer,Sean Spicer,52246221,2019-09-09T00:00:00Z,1178,ok,
29,AJ McLean,AJ McLean,675411,2020-09-07T00:00:00Z,1544,ok,
29,Anne Heche,Anne Heche,320781,2020-09-07T00:00:00Z,1539,ok,
29,Carole Baskin,Carole Baskin,63468915,2020-09-07T00:00:00Z,291,ok,
29,Charles Oakley,Charles Oakley,1277617,2020-09-07T00:00:00Z,642,ok,
29,Chrishell Stause,Chrishell Stause,2245230,2020-09-07T00:00:00Z,356,ok,
29,Jeannie Mai,Jeannie Mai,23970626,2020-09-07T00:00:00Z,760,ok,
29,Jesse Metcalfe,Jesse Metcalfe,1533111,2020-09-07T00:00:00Z,1538,ok,
29,Johnny Weir,Johnny Weir,1352814,2020-09-07T00:00:00Z,2360,ok,
29,Justina Machado,Justina Machado,2034846,2020-09-07T00:00:00Z,463,ok,
29,Kaitlyn Bristowe,Kaitlyn Bristowe,46883354,2020-09-07T00:00:00Z,220,ok,
29,Monica Aldama,Monica Aldama,62861622,2020-09-07T00:00:00Z,38,ok,
29,Nelly,Nelly,169408,2020-09-07T00:00:00Z,5805,ok,
29,Nev Schulman,Nev Schulman,37689668,2020-09-07T00:00:00Z,465,ok,
29,Skai Jackson,Skai Jackson,33506114,2020-09-07T00:00:00Z,2061,ok,
29,Veron Davis,Veron Davis,,2020-09-07T00:00:00Z,,missing_title,Title not found (pageid=-1)
30,Amanda Kloots,Amanda Kloots,65906228,2021-09-13T00:00:00Z,152,ok,
30,Brian Austin Green,Brian Austin Green,225485,2021-09-13T00:00:00Z,2356,ok,
30,Christine Chiu,Bling Empire,66472318,2021-09-13T00:00:00Z,94,ok,
30,Cody Rigsby,Cody Rigsby,68748127,2021-09-13T00:00:00Z,0,ok,
30,Iman Shumpert,Iman Shumpert,26654955,2021-09-13T00:00:00Z,1540,ok,
30,Jimmie Allen,Jimmie Allen,57880949,2021-09-13T00:00:00Z,333,ok,
30,JoJo Siwa,JoJo Siwa,50561266,2021-09-13T00:00:00Z,1164,ok,
30,Kenya Moore,Kenya Moore,2920466,2021-09-13T00:00:00Z,1169,ok,
30,Martin Kove,Martin Kove,2176801,2021-09-13T00:00:00Z,667,ok,
30,Matt James,Matt James,7349982,2021-09-13T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
30,Melanie C,Melanie C,262475,2021-09-13T00:00:00Z,5961,ok,
30,Melora Hardin,Melora Hardin,1796057,2021-09-13T00:00:00Z,710,ok,
30,"Mike ""The Miz"" Mizanin",The Miz,2162222,2021-09-13T00:00:00Z,13402,ok,
30,Olivia Jade,Olivia Jade,60216019,2021-09-13T00:00:00Z,569,ok,
30,Suni Lee,Sunisa Lee,59267698,2021-09-13T00:00:00Z,460,ok,
31,Charli D'Amelio,Charli D'Amelio,62810909,2022-09-12T00:00:00Z,1199,ok,
31,Cheryl Ladd,Cheryl Ladd,953920,2022-09-12T00:00:00Z,798,ok,
31,Daniel Durant,Daniel Durant,49067799,2022-09-12T00:00:00Z,80,ok,
31,Gabby Windey,Gabby Windey,70269682,2022-09-12T00:00:00Z,45,ok,
31,Heidi D'Amelio,Charli D'Amelio,62810909,2022-09-12T00:00:00Z,1199,ok,
31,Jason Lewis,Jason Lewis,13598924,2022-09-12T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
31,Jessie James Decker,Jessie James Decker,18442704,2022-09-12T00:00:00Z,1794,ok,
31,Jordin Sparks,Jordin Sparks,3536351,2022-09-12T00:00:00Z,7923,ok,
31,Joseph Baena,Joseph Baena,41476935,2022-09-12T00:00:00Z,9,ok,
31,Sam Champion,Sam Champion,2833927,2022-09-12T00:00:00Z,649,ok,
31,Selma Blair,Selma Blair,261017,2022-09-12T00:00:00Z,1869,ok,
31,Shangela,Shangela,34803359,2022-09-12T00:00:00Z,818,ok,
31,Teresa Giudice,Teresa Giudice,24726351,2022-09-12T00:00:00Z,887,ok,
31,Trevor Donovan,Trevor Donovan,12517910,2022-09-12T00:00:00Z,566,ok,
31,Vinny Guadagnino,Vinny Guadagnino,25980324,2022-09-12T00:00:00Z,579,ok,
31,Wayne Brady,Wayne Brady,524997,2022-09-12T00:00:00Z,2362,ok,
32,Adrian Peterson,Adrian Peterson,19156186,2023-09-19T00:00:00Z,8088,ok,
32,Alyson Hannigan,Alyson Hannigan,43997,2023-09-19T00:00:00Z,2394,ok,
32,Ariana Madix,Ariana Madix,51973787,2023-09-19T00:00:00Z,299,ok,
32,Barry Williams,Barry Williams,44038178,2023-09-19T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
32,Charity Lawson,The Bachelorette (American TV series) season 20,73442027,2023-09-19T00:00:00Z,165,ok,
32,Harry Jowsey,Harry Jowsey,74812836,2023-09-19T00:00:00Z,1,ok,
32,Jamie Lynn Spears,Jamie Lynn Spears,97803,2023-09-19T00:00:00Z,8368,ok,
32,Jason Mraz,Jason Mraz,412807,2023-09-19T00:00:00Z,4328,ok,
32,Lele Pons,Lele Pons,43774211,2023-09-19T00:00:00Z,3269,ok,
32,Matt Walsh,Matthew Walsh,8623761,2023-09-19T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
32,Mauricio Umansky,Mauricio Umansky,75613590,2023-09-19T00:00:00Z,0,ok,
32,Mira Sorvino,Mira Sorvino,277368,2023-09-19T00:00:00Z,1162,ok,
32,Tyson Beckford,Tyson Beckford,1692237,2023-09-19T00:00:00Z,1227,ok,
32,Xochitl Gomez,Xochitl Gomez,66298962,2023-09-19T00:00:00Z,506,ok,
33,Anna Delvey,Anna Delvey,57545953,2024-09-10T00:00:00Z,1470,ok,
33,Brooks Nader,Brooks Nader,73856782,2024-09-10T00:00:00Z,39,ok,
33,Chandler Kinney,Chandler Kinney,77795621,2024-09-10T00:00:00Z,13,ok,
33,Danny Amendola,Danny Amendola,17155306,2024-09-10T00:00:00Z,1791,ok,
33,Dwight Howard,Dwight Howard,479273,2024-09-10T00:00:00Z,4559,ok,
33,Eric Roberts,Eric Roberts,399280,2024-09-10T00:00:00Z,1837,ok,
33,Ilona Maher,Ilona Maher,67162609,2024-09-10T00:00:00Z,118,ok,
33,Jenn Tran,Jenn Tran,76916459,2024-09-10T00:00:00Z,33,ok,
33,Joey Graziadei,Joey Graziadei,74646857,2024-09-10T00:00:00Z,57,ok,
33,Phaedra Parks,Phaedra Parks,57560916,2024-09-10T00:00:00Z,215,ok,
33,Reginald VelJohnson,Reginald VelJohnson,1260945,2024-09-10T00:00:00Z,1461,ok,
33,Stephen Nedoroscik,Stephen Nedoroscik,68027842,2024-09-10T00:00:00Z,312,ok,
33,Tori Spelling,Tori Spelling,97149,2024-09-10T00:00:00Z,2292,ok,
34,Alix Earle,Alix Earle,74584114,2025-09-09T00:00:00Z,281,ok,
34,Andy Richter,Andy Richter,869611,2025-09-09T00:00:00Z,1425,ok,
34,Baron Davis,Baron Davis,1402941,2025-09-09T00:00:00Z,2692,ok,
34,Corey Feldman,Corey Feldman,90141,2025-09-09T00:00:00Z,3348,ok,
34,Danielle Fishel,Danielle Fishel,148907,2025-09-09T00:00:00Z,1941,ok,
34,Dylan Efron,Dylan Efron,64830605,2025-09-09T00:00:00Z,62,ok,
34,Elaine Hendrix,Elaine Hendrix,1674777,2025-09-09T00:00:00Z,634,ok,
34,Hilaria Baldwin,Hilaria Baldwin,50826041,2025-09-09T00:00:00Z,983,ok,
34,Jen Affleck,The Secret Lives of Mormon Wives,77837934,2025-09-09T00:00:00Z,321,ok,
34,Jordan Chiles,Jordan Chiles,43473171,2025-09-09T00:00:00Z,671,ok,
34,Lauren Jauregui,Lauren Jauregui,37607520,2025-09-09T00:00:00Z,2050,ok,
34,Robert Irwin,Robert Irwin,2324851,2025-09-09T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
34,Scott Hoying,Scott Hoying,44917205,2025-09-09T00:00:00Z,326,ok,
34,Whitney Leavitt,Whitney Leavitt,77892310,2025-09-09T00:00:00Z,3,ok,
