celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,norm_name,success_score,week1_total,week2_total,week3_total,mean_judge_w1_3,fan_w1,fan_w2,fan_w3,mean_fan_w1_3,judge_slope,fan_slope,age,industry,partner,country,homestate,industry_b,partner_b
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,buzz aldrin,0.09999999999999998,14.0,12.0,13.0,13.0,0.0744770214303894,0.0548709171153906,0.0473562710426955,0.0589014031961585,-0.5000000000000017,-0.01356037519384695,80,Astronaut,Ashly DelGrosso,United States,New Jersey,Other,Other
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,0.0,0.0,0.0,,,,,,chad ochocinco,0.7,18.0,16.0,20.0,18.0,0.0841773652234361,0.0712487318742577,0.0716468381014141,0.07569097839970262,0.9999999999999994,-0.0062652635610110025,32,Athlete,Cheryl Burke,United States,Florida,Athlete,Cheryl Burke
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,evan lysacek,0.9,23.0,24.0,26.0,24.333333333333332,0.1239236678129419,0.1384394458913924,0.1587014292701528,0.14035484765816236,1.499999999999998,0.017388880728605442,24,Athlete,Anna Trebunskaya,United States,Illinois,Athlete,Other
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,pamela anderson,0.5,21.0,22.0,21.0,21.333333333333332,0.090265706664344,0.0940800271924916,0.0966942925422594,0.09368000879969834,-1.588821858078255e-15,0.0032142929389577003,42,Model,Damian Whitewood,Canada,Unknown,Model,Other
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,nicole scherzinger,1.0,25.0,28.0,23.0,25.333333333333332,0.1184447643122047,0.1520139180641002,0.1632126403966664,0.1445571075909904,-1.0000000000000002,0.02238393804223087,31,Singer/Rapper,Derek Hough,United States,Hawaii,Singer/Rapper,Derek Hough
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,erin andrews,0.8,21.0,23.0,23.0,22.333333333333332,0.0836460892953673,0.0902580116242852,0.096907234427974,0.09027044511587551,0.9999999999999986,0.006630572566303322,32,Sports Broadcaster,Maksim Chmerkoskiy,United States,Maine,Other,Maksim Chmerkoskiy
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,kate gosselin,0.30000000000000004,16.0,15.0,15.0,15.333333333333334,0.0970712231444612,0.0793609467203469,0.0715499196482962,0.0826606965043681,-0.5000000000000024,-0.0127606517480825,35,TV Personality,Tony Dovolani,United States,Pennsylvania,TV Personality,Tony Dovolani
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,jake pavelka,0.4,20.0,20.0,21.0,20.333333333333332,0.0612319111259564,0.0595417392740723,0.0611962658563258,0.060656638752118165,0.4999999999999993,-1.7822634815292987e-05,32,TV Personality,Chelsie Hightower,United States,Texas,TV Personality,Other
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,david hasselhoff,0.0,15.0,,,15.0,0.0709659888737695,0.0563270218836668,0.0,0.042431003585812095,,-0.03548299443688473,58,Actor/Actress,Kym Johnson,United States,Maryland,Actor/Actress,Kym Johnson
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,florence henderson,0.36363636363636365,18.0,19.0,20.0,19.0,0.0610294624831065,0.0610786947867115,0.0643396720389727,0.06214927643626356,0.9999999999999986,0.0016551047779330915,76,Actor/Actress,Corky Ballas,United States,Indiana,Actor/Actress,Other
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,kyle massey,0.9090909090909091,23.0,22.0,23.0,22.666666666666668,0.0959214881213486,0.0995780305584707,0.1085293063982235,0.10134294169268093,-1.588821858078255e-15,0.0063039091384374454,19,Actor/Actress,Lacey Schwimmer,United States,Georgia,Actor/Actress,Other
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,jennifer grey,1.0,24.0,24.0,24.0,24.0,0.1111505533159279,0.1182381252568501,0.1303384333708239,0.11990903731453396,1.588821858078255e-15,0.009593940027448004,50,Actor/Actress,Derek Hough,United States,New York,Actor/Actress,Derek Hough
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,rick fox,0.5454545454545454,22.0,21.0,24.0,22.333333333333332,0.085858396030749,0.0880503841627852,0.0970613252243844,0.09032336847263954,0.9999999999999986,0.005601464596817696,41,Athlete,Cheryl Burke,Canada,Unknown,Athlete,Cheryl Burke
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,kurt warner,0.6363636363636364,19.0,21.0,23.0,21.0,0.0860035495923467,0.0881992435341704,0.0961276565917907,0.0901101499061026,1.9999999999999971,0.005062053499721997,39,Athlete,Anna Trebunskaya,United States,Iowa,Athlete,Other
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,margaret cho,0.18181818181818177,15.0,18.0,18.0,17.0,0.0588545852972366,0.058187723470935,0.0599180302503201,0.058986779672830565,1.5000000000000004,0.0005317224765417515,41,Comedian,Louis van Amstel,United States,California,Comedian,Other
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,michael bolton,0.09090909090909094,16.0,12.0,,14.0,0.0948055325276812,0.0871143901368903,0.0731222695836119,0.08501406408272781,-4.0000000000000036,-0.010841631472034645,57,Singer/Rapper,Chelsie Hightower,United States,Connecticut,Singer/Rapper,Other
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,0.0,0.0,0.0,,,,,,brandy,0.7272727272727273,23.0,21.0,24.0,22.666666666666668,0.0828926905635911,0.0850089634308697,0.0937086501666712,0.08720343472037732,0.4999999999999977,0.005407979801540058,31,Singer/Rapper,Maksim Chmerkoskiy,United States,Mississippi,Singer/Rapper,Maksim Chmerkoskiy
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,the situation,0.2727272727272727,15.0,18.0,20.0,17.666666666666668,0.0986463377417014,0.097528608738733,0.1027356383855238,0.09963686162198605,2.4999999999999982,0.0020446503219111872,28,TV Personality,Karina Smirnoff,United States,New York,TV Personality,Karina Smirnoff
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,7.0,6.0,,8.0,8.0,7.0,,8.0,9.0,9.0,,8.0,7.5,7.5,,7.0,8.0,8.0,,10.6666,10.6666,10.6666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,audrina patridge,0.4545454545454546,19.0,23.0,26.0,22.666666666666668,0.0746831629068851,0.0784818926680597,0.0885008338763106,0.0805552964837518,3.499999999999996,0.006908835484712741,25,TV Personality,Tony Dovolani,United States,California,TV Personality,Tony Dovolani
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6.0,6.0,6.0,,7.0,8.0,7.0,,6.0,6.0,7.0,,5.0,5.5,5.5,,6.0,6.0,6.0,,9.6666,8.6666,9.6666,,8.5,8.0,8.0,8.0,7.5,8.0,8.0,,8.5,9.0,9.0,,8.3333,9.0,8.3333,,,,,,bristol palin,0.8181818181818181,18.0,22.0,19.0,19.666666666666668,0.0791882525456561,0.0822069213718572,0.0856181841133668,0.08233778601029336,0.4999999999999993,0.0032149657838553497,19,TV Personality,Mark Ballas,United States,Alaska,TV Personality,Mark Ballas
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8.0,8.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,9.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.5,7.5,8.0,7.5,7.5,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,,,,,ralph macchio,0.7,24.0,21.0,21.0,22.0,0.1275224399063374,0.1363068496962768,0.1368742900076757,0.13356785987009664,-1.500000000000001,0.004675925050669154,49,Actor/Actress,Karina Smirnoff,United States,New York,Actor/Actress,Karina Smirnoff
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7.0,7.0,7.0,,6.0,5.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,8.0,8.5,7.5,8.0,9.0,9.0,9.5,,12.0,12.0,12.5,,10.0,9.6666,10.0,,,,,,chelsea kane,0.8,21.0,18.0,23.0,20.666666666666668,0.0969733673292027,0.0860524255531921,0.0903158391607022,0.09111387734769899,0.9999999999999978,-0.003328764084250264,22,Actor/Actress,Mark Ballas,United States,Arizona,Actor/Actress,Mark Ballas
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8.0,7.0,8.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,7.0,8.0,,8.0,9.0,9.0,,8.0,7.0,7.0,8.0,8.5,9.0,9.0,,9.0,9.0,9.0,,9.3333,9.3333,9.3333,,,,,,kirstie alley,0.9,23.0,20.0,21.0,21.333333333333332,0.1414522218982337,0.1421021661713777,0.142693732168262,0.1420827067459578,-1.0000000000000018,0.0006207551350141542,60,Actor/Actress,Maksim Chmerkoskiy,United States,Kansas,Actor/Actress,Maksim Chmerkoskiy
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.6666,10.0,,,,,,hines ward,1.0,21.0,23.0,25.0,23.0,0.11244080899574,0.1360615184623671,0.1492563184118814,0.13258621528999617,1.999999999999999,0.018407754708070687,35,Athlete,Kym Johnson,South Korea,Unknown,Athlete,Kym Johnson
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,sugar ray leonard,0.19999999999999996,17.0,17.0,20.0,18.0,0.0782633367732497,0.0652722911975136,0.0641113251024262,0.0692156510243965,1.5000000000000004,-0.007076005835411745,54,Athlete,Anna Trebunskaya,United States,North Carolina,Athlete,Other
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7.0,6.0,6.0,,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,9.0,,7.0,8.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,chris jericho,0.4,19.0,23.0,21.0,21.0,0.0623428413636989,0.0754393510413529,0.0757534022349798,0.07117853154667719,1.0000000000000018,0.0067052804356404466,40,Athlete,Cheryl Burke,United States,New York,Athlete,Cheryl Burke
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,petra nemcova,0.30000000000000004,18.0,18.0,25.0,20.333333333333332,0.0869379646898619,0.0771471893805989,0.0846286708608004,0.0829046083104204,3.4999999999999982,-0.0011546469145307533,31,Model,Dmitry Chaplin,Czechoslovakia,Unknown,Model,Other
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5.0,4.0,4.0,,6.0,5.0,6.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,mike catherwood,0.0,13.0,17.0,,15.0,0.0603961170803718,0.0503708773967914,0.0317994309103704,0.04752214179584454,3.9999999999999964,-0.014298343085000692,32,Radio Personality,Lacey Schwimmer,United States,California,Radio Personality,Other
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7.0,6.0,6.0,,7.0,8.0,8.0,,7.0,6.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,7.5,8.0,7.0,7.5,8.5,9.0,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,romeo,0.6,19.0,23.0,20.0,20.666666666666668,0.0750583033857413,0.0908259805588904,0.0892105035770443,0.08503159584055868,0.4999999999999993,0.007076100095651493,21,Singer/Rapper,Chelsie Hightower,United States,Louisiana,Singer/Rapper,Other
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5.0,4.0,5.0,,6.0,5.0,6.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,wendy williams,0.09999999999999998,14.0,17.0,15.0,15.333333333333334,0.0847483373956165,0.0706808370951358,0.0621607239958262,0.07252996616219283,0.5000000000000009,-0.011293806699895164,46,TV Personality,Tony Dovolani,United States,New Jersey,TV Personality,Tony Dovolani
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6.0,6.0,6.0,,7.0,6.0,6.0,,8.0,7.0,8.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,7.5,7.5,7.5,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,kendra wilkinson,0.5,18.0,19.0,23.0,20.0,0.0738642611819453,0.0697405134465028,0.0731957635700309,0.07226684606615967,2.5000000000000004,-0.00033424880595721876,25,TV Personality,Louis van Amstel,United States,California,TV Personality,Other
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5.0,5.0,5.0,,7.0,7.0,7.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,elisabetta canalis,0.09090909090909094,15.0,21.0,,18.0,0.0857999438518965,0.0877266984501991,0.0727962938640784,0.08210764538872467,5.999999999999997,-0.0065018249939090425,33,Actor/Actress,Valentin Chmerkovskiy,Italy,Unknown,Actor/Actress,Valentin Chmerkovskiy
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,8.0,7.5,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,david arquette,0.5454545454545454,18.0,18.0,24.0,20.0,0.0744374302945634,0.0731739688455583,0.0784659211028403,0.075359106747654,3.0,0.0020142454041384567,40,Actor/Actress,Kym Johnson,United States,Virginia,Actor/Actress,Kym Johnson
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7.0,6.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,9.0,8.5,9.0,,8.5,8.5,9.0,,10.8333,11.3333,11.3333,,9.3333,9.3333,9.3333,,,,,,ricki lake,0.8181818181818181,20.0,23.0,27.0,23.333333333333332,0.0731435003578667,0.0767727121832114,0.0850060276969396,0.07830741341267257,3.499999999999998,0.005931263669536447,42,Actor/Actress,Derek Hough,United States,New York,Actor/Actress,Derek Hough
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,8.0,7.0,7.0,,7.0,7.0,8.0,,9.0,8.0,9.0,,8.0,9.0,9.0,,9.0,9.0,10.0,,10.0,9.0,10.0,,8.5,7.5,8.0,,10.0,10.0,10.0,,9.5,9.0,9.5,,9.3333,9.1666,9.6666,,,,,,jr martinez,1.0,22.0,22.0,26.0,23.333333333333332,0.1107505824069881,0.1147318459619251,0.1256861324104252,0.11705618692644613,2.0000000000000004,0.007467775001718555,28,Actor/Actress,Karina Smirnoff,United States,Louisiana,Actor/Actress,Karina Smirnoff
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,5.0,4.0,5.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,metta world peace ron,0.0,14.0,,,14.0,0.0614741409869396,0.0477287930761141,0.0,0.0364009780210179,,-0.030737070493469795,31,Athlete,Peta Murgatroyd,United States,New York,Athlete,Peta Murgatroyd
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,7.0,7.0,7.0,,6.0,7.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,7.0,,8.5,8.0,8.5,,8.5,9.0,8.5,,8.1666,8.1666,8.1666,,0.0,0.0,0.0,,,,,,hope solo,0.7272727272727273,21.0,19.0,24.0,21.333333333333332,0.1124839146231742,0.1120337420056933,0.1201360388094941,0.11488456514612054,1.4999999999999971,0.003826062093159945,30,Athlete,Maksim Chmerkoskiy,United States,Washington,Athlete,Maksim Chmerkoskiy
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,chynna phillips,0.2727272727272727,22.0,21.0,26.0,23.0,0.1082345597533576,0.1106651142075658,0.1212311201035048,0.1133769313548094,1.9999999999999964,0.006498280175073592,43,Singer/Rapper,Tony Dovolani,United States,California,Singer/Rapper,Tony Dovolani
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,7.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,kristin cavallari,0.18181818181818177,19.0,22.0,24.0,21.666666666666668,0.0740261784139082,0.076687272557391,0.0822333074591117,0.07764891947680362,2.4999999999999996,0.0041035645226017315,24,TV Personality,Mark Ballas,United States,Colorado,TV Personality,Mark Ballas
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6.0,5.0,6.0,,6.0,6.0,6.0,,8.0,7.0,8.0,,7.0,6.0,7.0,,6.0,6.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,carson kressley,0.36363636363636365,17.0,18.0,23.0,19.333333333333332,0.063085935297608,0.06201514810214,0.0657934702555922,0.06363151788511341,2.9999999999999982,0.001353767478992101,41,TV Personality,Anna Trebunskaya,United States,Pennsylvania,TV Personality,Other
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6.0,5.0,6.0,,6.0,5.0,6.0,,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,chaz bono,0.4545454545454546,17.0,17.0,18.0,17.333333333333332,0.0653135039242231,0.0633687355655743,0.0637327652457731,0.06413833491185683,0.5000000000000033,-0.0007903693392250106,42,TV Personality,Lacey Schwimmer,United States,California,TV Personality,Other
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,5.0,5.0,6.0,,6.0,8.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,9.0,7.0,8.0,,7.5,7.0,7.5,,7.5,7.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,nancy grace,0.6363636363636364,16.0,21.0,21.0,19.333333333333332,0.0821272794172297,0.0839715593335007,0.0872043825436156,0.08443440709811534,2.5000000000000013,0.0025385515631929515,51,TV Personality,Tristan MacManus,United States,Georgia,TV Personality,Other
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,9.0,8.0,8.5,,8.5,8.5,8.5,,11.1666,10.6666,10.6666,,9.4444,9.4444,9.4444,,,,,,rob kardashian,0.9090909090909091,16.0,21.0,24.0,20.333333333333332,0.0891230306722446,0.0911244097111264,0.0977145405086245,0.09265399363066516,4.000000000000002,0.004295754918189949,24,TV Personality,Cheryl Burke,United States,California,TV Personality,Cheryl Burke
