celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_judge_total,week2_judge_total,week3_judge_total,week4_judge_total,week5_judge_total,week6_judge_total,week7_judge_total,week8_judge_total,week9_judge_total,week10_judge_total,week11_judge_total,weeks_danced,judge_avg_week_total,judge_sum_week_total,judge_max_week_total,judge_avg_first3_total,season_cast_size,placement_pct,edits_total_to_cutoff,log_edits,wiki_title,pageid,has_wiki_ok
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6.0,7.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,17.333333333333332,52.0,19.0,17.333333333333332,12,0.8181818181818182,234.0,5.459585514144159,Wayne Newton,556410.0,True
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,9.0,8.5,8.5,,8.0,8.5,8.0,,9.5,9.5,9.0,,8.0,7.5,7.5,,,,,,21.0,24.0,26.0,26.0,21.0,23.0,26.0,24.5,28.0,23.0,,10,24.25,242.5,28.0,23.666666666666668,12,0.18181818181818182,287.0,5.662960480135946,Marie Osmond,728775.0,True
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,7.0,7.0,,7.0,8.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,18.0,20.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,,5,20.4,102.0,22.0,19.666666666666668,12,0.6363636363636364,1240.0,7.123672785204607,Mark Cuban,408743.0,True
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7.0,7.0,7.0,,7.0,6.0,7.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,7.5,7.5,8.0,,10.0,9.0,9.5,,9.5,9.0,9.5,,9.0,8.0,9.0,,,,,,21.0,20.0,25.0,26.0,23.0,27.0,23.0,28.5,28.0,26.0,,10,24.75,247.5,28.5,22.0,12,0.18181818181818182,77.0,4.356708826689592,Cristián de la Fuente,4092617.0,True
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,18.333333333333332,55.0,21.0,18.333333333333332,12,0.8181818181818182,516.0,6.248042874508429,Steve Guttenberg,724645.0,True
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,21.0,26.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,,5,22.8,114.0,26.0,23.666666666666668,12,0.6363636363636364,420.0,6.042632833682381,Priscilla Presley,208580.0,True
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,24.0,21.0,24.0,22.0,21.0,0.0,0.0,0.0,0.0,,6,22.333333333333332,134.0,24.0,22.333333333333332,12,0.5454545454545454,291.0,5.676753802268282,Marlee Matlin,182870.0,True
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,10.0,9.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,24.0,24.0,28.0,23.0,24.0,25.5,0.0,0.0,0.0,,7,24.214285714285715,169.5,28.0,23.0,12,0.45454545454545453,549.0,6.309918278226516,Shannon Elizabeth,26675.0,True
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6.0,6.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.5,8.5,,8.5,8.0,8.5,,8.5,9.0,8.5,,0.0,0.0,0.0,,,,,,18.0,21.0,19.0,24.0,24.0,26.0,26.0,25.0,26.0,0.0,,9,23.22222222222222,209.0,26.0,19.333333333333332,12,0.2727272727272727,109.0,4.700480365792417,Marissa Jaret Winokur,1823364.0,True
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7.0,8.0,7.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.5,8.5,9.5,,9.0,8.0,9.0,,9.0,9.5,9.0,,9.5,9.5,9.5,,,,,,22.0,27.0,23.0,29.0,27.0,24.0,27.5,26.0,27.5,28.5,,10,26.15,261.5,29.0,24.0,12,0.09090909090909091,,,,,False
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,9.0,10.0,10.0,,10.0,10.0,10.0,,9.5,8.0,9.5,,8.5,9.5,9.5,,9.5,9.0,10.0,,10.0,10.0,10.0,,,,,,27.0,27.0,27.0,29.0,29.0,30.0,27.0,27.5,28.5,30.0,,10,28.2,282.0,30.0,27.0,12,0.0,365.0,5.902633333401366,Kristi Yamaguchi,17291.0,True
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5.0,5.0,5.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,15.0,30.0,15.0,15.0,12,0.9090909090909091,876.0,6.776506992372183,Monica Seles,300468.0,True
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5.0,6.0,5.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,16.5,33.0,17.0,16.5,12,1.0,585.0,6.373319789577012,Penn Jillette,348378.0,True
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,7.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,19.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,18.5,74.0,21.0,18.333333333333332,12,0.7272727272727273,1095.0,6.999422467507961,Adam Carolla,2723.0,True
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,8.0,8.0,,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,7.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,8.5,8.5,8.5,,9.0,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,26.0,21.0,24.0,27.0,28.0,25.5,26.5,0.0,0.0,,8,25.25,202.0,28.0,23.666666666666668,12,0.36363636363636365,8340.0,9.028938392241612,Mario,81361.0,True
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6.0,6.0,6.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,18.5,18.5,18.5,18.5,13,0.9166666666666666,216.0,5.37989735354046,Ted McGinley,654916.0,True
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,5.0,5.0,,5.0,5.0,5.0,,6.0,5.0,5.0,,8.0,7.0,7.0,,7.0,7.0,7.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,15.0,16.0,22.0,21.0,15.0,0.0,0.0,0.0,0.0,,6,17.5,105.0,22.0,15.666666666666666,13,0.5,461.0,6.135564891081739,Cloris Leachman,521820.0,True
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6.0,6.0,6.5,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,21.0,21.0,24.0,22.0,23.0,24.0,0.0,0.0,0.0,,7,21.928571428571427,153.5,24.0,20.166666666666668,13,0.4166666666666667,377.0,5.934894195619588,Susan Lucci,645193.0,True
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7.0,6.5,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,7.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.5,7.5,,0.0,0.0,0.0,,,,,,20.5,21.0,21.0,23.0,28.0,23.0,22.0,24.0,23.0,0.0,,9,22.833333333333332,205.5,28.0,20.833333333333332,13,0.25,1457.0,7.284820912568604,Cody Linley,4833081.0,True
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,21.0,42.0,21.0,21.0,13,0.75,560.0,6.329720905522696,Misty May-Treanor,928737.0,True
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7.0,6.0,6.0,,8.0,8.0,8.0,,6.0,7.0,7.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.5,19.0,24.0,20.0,27.0,21.0,25.0,24.0,0.0,0.0,,8,22.4375,179.5,27.0,20.833333333333332,13,0.3333333333333333,,,,,False
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7.0,7.0,7.5,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,8.0,9.0,8.0,,7.0,7.0,7.0,,9.5,8.5,9.0,,8.5,8.0,8.0,,9.0,9.5,9.0,,,,,,21.5,24.0,25.0,22.0,25.0,25.0,21.0,27.0,24.5,27.5,,10,24.25,242.5,27.5,23.5,13,0.08333333333333333,597.0,6.393590753950631,Warren Sapp,538870.0,True
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,12.0,12.0,12.0,12.0,13,1.0,117.0,4.770684624465665,Jeff Ross,5847824.0,True
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7.0,8.0,,7.0,8.0,8.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.5,23.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,,5,22.3,111.5,23.0,22.5,13,0.5833333333333334,1809.0,7.501082124259871,Toni Braxton,495350.0,True
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6.0,8.0,,7.0,6.0,7.0,,8.0,7.0,7.0,,9.0,8.0,9.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,9.0,7.0,9.0,,8.5,7.5,9.0,,10.0,9.0,9.5,,9.0,9.0,9.5,,,,,,21.5,20.0,22.0,26.0,21.0,27.0,25.0,25.0,28.5,27.5,,10,24.35,243.5,28.5,21.166666666666668,13,0.16666666666666666,2505.0,7.826443135456014,Lance Bass,161230.0,True
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6.0,6.5,6.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,17.75,35.5,18.5,17.75,13,0.8333333333333334,2247.0,7.717796211013582,Kim Kardashian,19394613.0,True
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6.0,5.5,6.0,,5.0,6.0,5.0,,7.0,7.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.5,16.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,17.875,71.5,20.0,17.833333333333332,13,0.6666666666666666,112.0,4.727387818712341,Rocco DiSpirito,1433761.0,True
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8.0,8.0,8.5,,8.0,8.0,8.0,,9.0,10.0,9.0,,9.0,8.0,9.0,,10.0,9.0,10.0,,8.0,10.0,8.0,,10.0,10.0,10.0,,9.5,8.5,9.5,,8.0,8.5,8.0,,10.0,10.0,10.0,,,,,,24.5,24.0,28.0,26.0,29.0,26.0,30.0,27.5,24.5,30.0,,10,26.95,269.5,30.0,25.5,13,0.0,578.0,6.361302477572996,Brooke Burke,21486834.0,True
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.0,10.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,9.5,10.0,9.5,,24.0,27.0,27.0,30.0,29.0,26.0,27.0,27.5,28.0,30.0,29.0,11,27.681818181818183,304.5,30.0,26.0,13,0.08333333333333333,24.0,3.2188758248682006,Gilles Marini,21462703.0,True
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6.0,6.0,6.0,,7.0,7.0,7.0,,5.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,18.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18.333333333333332,55.0,21.0,18.333333333333332,13,0.9166666666666666,1049.0,6.956545443151569,Denise Richards,37275.0,True
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6.0,7.0,6.0,,6.0,5.0,6.0,,8.0,8.0,8.0,,8.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,19.0,17.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20.8,104.0,24.0,20.0,13,0.6666666666666666,316.0,5.75890177387728,David Alan Grier,998033.0,True
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6.0,5.0,5.0,,7.0,6.0,7.0,,7.0,6.0,7.0,,7.0,5.0,7.0,,6.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,16.0,20.0,20.0,19.0,20.0,22.0,21.0,0.0,0.0,0.0,0.0,7,19.714285714285715,138.0,22.0,18.666666666666668,13,0.5,1806.0,7.499423290592229,Lawrence Taylor,448584.0,True
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5.0,4.0,5.0,,7.0,6.0,7.0,,8.0,8.0,7.0,,9.0,8.0,8.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,7.5,8.0,7.5,,8.0,8.0,8.0,,0.0,0.0,0.0,,14.0,20.0,23.0,25.0,21.0,18.0,24.0,26.0,23.0,24.0,0.0,10,21.8,218.0,26.0,19.0,13,0.25,123.0,4.820281565605037,Ty Murray,5303744.0,True
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8.0,8.0,7.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,8.0,9.0,9.0,,9.0,9.0,10.0,,9.0,8.0,9.0,,9.5,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,23.0,24.0,27.0,25.0,26.0,26.0,28.0,26.0,28.0,28.0,30.0,11,26.454545454545453,291.0,30.0,24.666666666666668,13,0.0,1018.0,6.926577033222725,Shawn Johnson East,19084452.0,True
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5.0,4.0,4.0,,6.0,5.0,6.0,,4.0,3.0,3.0,,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,13.0,17.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.0,52.0,17.0,13.333333333333334,13,0.75,2170.0,7.682943169878292,Steve Wozniak,27848.0,True
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6.0,6.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.5,35.0,18.0,17.5,13,1.0,982.0,6.890609120147166,Belinda Carlisle,338350.0,True
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6.0,7.0,7.0,,6.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,7.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,20.0,20.0,23.0,22.0,23.0,23.0,27.0,25.5,0.0,0.0,0.0,8,22.9375,183.5,27.0,21.0,13,0.4166666666666667,302.0,5.713732805509369,Chuck Wicks,13255277.0,True
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,8.0,9.0,,9.0,8.0,10.0,,9.0,8.0,9.0,,10.0,8.0,10.0,,9.0,8.0,9.0,,9.0,9.0,10.0,,8.5,9.0,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,21.0,23.0,25.0,27.0,26.0,28.0,26.0,28.0,26.0,0.0,0.0,9,25.555555555555557,230.0,28.0,23.0,13,0.3333333333333333,3890.0,8.266421472984554,Lil' Kim,215670.0,True
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6.0,5.0,6.0,,5.0,4.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,4.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,17.0,14.0,15.0,15.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,6,15.833333333333334,95.0,18.0,15.333333333333334,13,0.5833333333333334,1516.0,7.324489979348532,Steve-O,13063807.0,True
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6.0,6.0,6.0,,6.0,6.0,6.0,,5.0,6.0,6.0,,5.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,18.0,18.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,17.25,69.0,18.0,17.666666666666668,13,0.8333333333333334,932.0,6.838405200847344,Holly Madison,2686441.0,True
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8.0,7.0,8.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,7.5,7.5,8.0,,9.5,9.5,9.5,,9.0,9.5,9.0,,9.5,9.5,9.5,,23.0,26.0,27.0,29.0,25.0,27.0,29.0,23.0,28.5,27.5,28.5,11,26.681818181818183,293.5,29.0,25.333333333333332,13,0.16666666666666666,0.0,0.0,Melissa Rycroft,21876113.0,True
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,18.9999,18.9999,18.9999,18.9999,16,1.0,,,,,False
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8.0,7.0,7.0,,7.0,7.0,7.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,20.0,60.0,22.0,20.0,16,0.7333333333333333,228.0,5.43372200355424,Debi Mazar,90685.0,True
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8.0,8.0,8.0,,7.0,6.0,6.0,,6.0,6.0,7.0,,9.0,9.0,10.0,,8.0,8.0,7.0,,8.3333,8.3333,7.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,19.0,19.0,28.0,23.0,23.9999,0.0,0.0,0.0,0.0,,6,22.833316666666665,136.9999,28.0,20.666666666666668,16,0.5333333333333333,1177.0,7.071573364211532,Melissa Joan Hart,148164.0,True
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,9.0,9.0,8.0,,11.0,11.0,10.0,,7.0,7.5,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,28.9998,21.0,18.0,22.0,26.0,32.0,21.5,0.0,0.0,0.0,,7,24.214257142857143,169.4998,32.0,22.6666,16,0.3333333333333333,276.0,5.6240175061873385,Mark Dacascos,728473.0,True
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8.0,7.0,7.0,,6.0,7.0,6.0,,6.0,5.0,6.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,19.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,18.75,75.0,22.0,19.333333333333332,16,0.6666666666666666,3565.0,8.179199798423086,Chuck Liddell,1715880.0,True
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,26.9998,21.0,26.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,,5,23.999959999999998,119.9998,26.9998,24.6666,16,0.6,515.0,6.246106765481563,Natalie Coughlin,907833.0,True
